行政代码,地名,东经,北纬
130208,河北省唐山市丰润区,118.05949,39.789909
130223,河北省滦县,118.583777,39.785509
130224,河北省滦南县,118.549385,39.360739
130225,河北省乐亭县,118.939943,39.357229
130227,河北省迁西县,118.371389,40.238508
130229,河北省玉田县,117.734753,39.818843
130230,河北省唐海县,118.426721,39.27343
130281,河北省遵化市,117.957639,40.137901
130283,河北省迁安市,118.686955,40.040443
130300,河北省秦皇岛市,119.604368,39.945462
130301,河北省秦皇岛市市辖区,119.604368,39.945462
130302,河北省秦皇岛市海港区,119.577617,39.98878
130303,河北省秦皇岛市山海关区,119.713616,40.0329
130304,河北省秦皇岛市北戴河区,119.479321,39.854293
130321,河北省青龙满族自治县,119.137582,40.35365
130322,河北省昌黎县,119.094621,39.638021
130323,河北省抚宁县,119.3951,40.012967
130324,河北省卢龙县,118.985564,39.920978
130400,河北省邯郸市,114.482694,36.609308
130401,河北省邯郸市市辖区,114.482694,36.609308
130402,河北省邯郸市邯山区,114.46929,36.536153
130403,河北省邯郸市丛台区,114.511068,36.637215
130404,河北省邯郸市复兴区,114.448095,36.610369
130406,河北省邯郸市峰峰矿区,114.190422,36.474685
130421,河北省邯郸县,114.494486,36.620347
130423,河北省临漳县,114.586944,36.266142
130424,河北省成安县,114.704775,36.428151
130425,河北省大名县,115.248635,36.309544
430681,湖南省汨罗市,113.125027,28.801958
430682,湖南省临湘市,113.519749,29.496146
430700,湖南省常德市,111.653718,29.012149
430701,湖南省常德市市辖区,111.653718,29.012149
430702,湖南省常德市武陵区,111.69745,28.996871
430703,湖南省常德市鼎城区,111.747796,28.995243
430721,湖南省安乡县,112.162437,29.448996
430722,湖南省汉寿县,112.044311,28.8648
430723,湖南省澧县,111.707703,29.750168
430724,湖南省临澧县,111.625422,29.486257
430725,湖南省桃源县,111.270707,28.917818
430726,湖南省石门县,111.044287,29.801743
430781,湖南省津市市,111.90685,29.474442
430800,湖南省张家界市,110.48162,29.124889
430801,湖南省张家界市市辖区,110.48162,29.124889
430802,湖南省张家界市永定区,110.501007,29.088539
430811,湖南省张家界市武陵源区,110.488496,29.357201
430821,湖南省慈利县,110.9362,29.397693
430822,湖南省桑植县,110.187336,29.567692
430900,湖南省益阳市,112.366547,28.588088
430902,湖南省益阳市资阳区,112.343121,28.694069
430903,湖南省益阳市赫山区,112.461324,28.456919
430921,湖南省南县,112.444499,29.242714
430901,湖南省益阳市市辖区,112.366547,28.588088
430922,湖南省桃江县,111.990464,28.464142
430923,湖南省安化县,111.390782,28.28658
430981,湖南省沅江市,112.564942,28.977186
431000,湖南省郴州市,113.037704,25.782264
431001,湖南省郴州市市辖区,113.037704,25.782264
431002,湖南省郴州市北湖区,112.884476,25.679158
431003,湖南省郴州市苏仙区,113.051002,25.773515
431021,湖南省桂阳县,112.608108,25.89349
431022,湖南省宜章县,112.933447,25.275887
431023,湖南省永兴县,113.198393,26.216492
431024,湖南省嘉禾县,112.414353,25.637287
431025,湖南省临武县,112.568041,25.343997
431026,湖南省汝城县,113.677677,25.555137
431027,湖南省桂东县,113.906401,25.986645
431028,湖南省安仁县,113.365699,26.580786
431081,湖南省资兴市,113.468522,25.937184
431100,湖南省永州市,111.614648,26.435972
431101,湖南省永州市市辖区,111.614648,26.435972
431102,湖南省永州市芝山区,111.614648,26.435972
431103,湖南省永州市冷水滩区,111.621586,26.560382
431121,湖南省祁阳县,111.972594,26.460846
431122,湖南省东安县,111.342809,26.495588
431124,湖南省道县,111.602042,25.499397
431125,湖南省江永县,111.253887,25.199988
431123,湖南省双牌县,111.716294,25.914933
431126,湖南省宁远县,111.988063,25.65384
431127,湖南省蓝山县,112.196393,25.319503
431128,湖南省新田县,112.234807,25.890527
431129,湖南省江华瑶族自治县,111.752496,24.977642
431200,湖南省怀化市,109.986959,27.557483
431201,湖南省怀化市市辖区,109.986959,27.557483
431202,湖南省怀化市鹤城区,109.945539,27.612024
431221,湖南省中方县,110.165362,27.520935
431222,湖南省沅陵县,110.601178,28.576605
431223,湖南省辰溪县,110.273009,27.895902
431224,湖南省溆浦县,110.658581,27.83591
431225,湖南省会同县,109.809945,26.914136
431226,湖南省麻阳苗族自治县,109.729179,27.791376
431227,湖南省新晃侗族自治县,109.168741,27.234509
431228,湖南省芷江侗族自治县,109.611105,27.40251
431229,湖南省靖州苗族侗族自治县,109.590833,26.550431
431230,湖南省通道侗族自治县,109.744661,26.215115
431281,湖南省洪江市,110.087193,27.239105
431300,湖南省娄底市,111.996396,27.741073
431301,湖南省娄底市市辖区,111.996396,27.741073
431302,湖南省娄底市娄星区,112.004619,27.766945
431321,湖南省双峰县,112.187923,27.465564
431322,湖南省新化县,111.246845,27.873273
431381,湖南省冷水江市,111.493942,27.684915
431382,湖南省涟源市,111.794581,27.743727
433100,湖南省湘西土家族苗族自治州,109.745746,28.317951
433101,湖南省吉首市,109.770926,28.317143
433122,湖南省泸溪县,110.0027,28.164426
433123,湖南省凤凰县,109.518882,28.013633
433124,湖南省花垣县,109.439129,28.431708
433125,湖南省保靖县,109.573905,28.672428
433126,湖南省古丈县,110.008149,28.603594
433127,湖南省永顺县,109.976124,29.015941
433130,湖南省龙山县,109.515961,29.225529
440000,广东省,113.394818,23.408004
440100,广东省广州市,113.30765,23.120049
440101,广东省广州市市辖区,113.30765,23.120049
440102,广东省广州市东山区,113.30765,23.120049
440103,广东省广州市荔湾区,113.234423,23.093666
440104,广东省广州市越秀区,113.287833,23.139278
440105,广东省广州市海珠区,113.333841,23.087629
440106,广东省广州市天河区,113.385643,23.166129
440107,广东省广州市芳村区,113.242176,23.107309
440111,广东省广州市白云区,113.331306,23.294514
440112,广东省广州市黄埔区,113.492885,23.108712
440113,广东省广州市番禺区,113.4168,22.934591
440114,广东省广州市花都区,113.220176,23.446661
440183,广东省增城市,113.767687,23.346745
440184,广东省从化市,113.684824,23.680249
440200,广东省韶关市,113.594461,24.80296
440201,广东省韶关市市辖区,113.594461,24.80296
440202,广东省韶关市北江区,113.606842,24.810385
440203,广东省韶关市武江区,113.379606,24.708193
440204,广东省韶关市浈江区,113.57745,24.919162
441623,广东省连平县,114.542977,24.340566
441624,广东省和平县,115.011815,24.45211
441625,广东省东源县,114.826946,23.933053
441700,广东省阳江市,111.97701,21.871517
441701,广东省阳江市市辖区,111.97701,21.871517
441702,广东省阳江市江城区,111.930036,21.762804
